NOTIFICATION,DESCRIPTION,PRIORITY,INITIAL RECOMMENDATION,State,NEW RECOMMENDATION,ENGINEERING REVIEW OUTCOMES
24903605,localised corrosion at pipeflangevalve severe corroded bolt and nuts,2,to be rectified,remain,to be rectified,lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad
24903607,atmospheric corrosion at pipe and valve perforated valve handle,2,to be rectified,remain,to be rectified,repairy on valve handle and hand wheel with surplus material. painting on others corroded nuts bolts flange and pipe
24941538,localised general corrosion with surface rusting and corrosion under pipe support arepresent cups,2,to be rectified,remain,to be rectified,lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad paint corroded flange bolts and nuts
24941538,localised general corrosion with surface rusting and corrosion under pipe support arepresent cups,2,to be rectified,remain,to be rectified,lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad paint corroded flange bolts and nuts
24941538,localised general corrosion with surface rusting and corrosion under pipe support arepresent cups,2,to be rectified,remain,to be rectified,lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad paint corroded flange bolts and nuts
24941538,localised general corrosion with surface rusting and corrosion under pipe support arepresent cups,2,to be rectified,remain,to be rectified,lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad paint corroded flange bolts and nuts
24941538,localised general corrosion with surface rusting and corrosion under pipe support arepresent cups,2,to be rectified,remain,to be rectified,lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad paint corroded flange bolts and nuts
24941538,localised general corrosion with surface rusting and corrosion under pipe support arepresent cups,2,to be rectified,remain,to be rectified,lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad paint corroded flange bolts and nuts
24941538,localised general corrosion with surface rusting and corrosion under pipe support arepresent cups,2,to be rectified,remain,to be rectified,lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad paint corroded flange bolts and nuts
24941538,localised general corrosion with surface rusting and corrosion under pipe support arepresent cups,2,to be rectified,remain,to be rectified,lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad paint corroded flange bolts and nuts
24941538,localised general corrosion with surface rusting and corrosion under pipe support arepresent cups,2,to be rectified,remain,to be rectified,lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad paint corroded flange bolts and nuts
24941538,localised general corrosion with surface rusting and corrosion under pipe support arepresent cups,2,to be rectified,remain,to be rectified,lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad paint corroded flange bolts and nuts
24941538,localised general corrosion with surface rusting and corrosion under pipe support arepresent cups,2,to be rectified,remain,to be rectified,lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad paint corroded flange bolts and nuts
24941538,localised general corrosion with surface rusting and corrosion under pipe support arepresent cups,2,to be rectified,remain,to be rectified,lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad paint corroded flange bolts and nuts
24958871,severely corroded valve handle broken,3,to be rectified,remain,to be rectified,replace hand wheel with surplus material. dispose valve
24974264,coating failure with corrosion cups ubolt ring pipe with cups,2,to be rectified,remain,to be rectified,lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad paint corroded flange bolts and nuts
25009688,direct contact with another pipework,2,to be rectified,remain,to be rectified,pull pipe to insert aluminum teflon kevlar sheet preferable would be kevlar
25009689,direct contact with grating,2,to be rectified,remain,to be rectified,trim grating
25009703,uninstall ubolt at pipe support,2,to be rectified,remain,to be rectified,repairy. replace new ubolts with isolation pad
25014097,pipe direct contact to support with localizedcrevice corrosion scaling observed cups,2,to be rectified,remain,to be rectified,pull lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar
25014098,pipe direct contact to support with minor crevice corrosion observed,2,to be rectified,remain,to be rectified,pull lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar or pull lift pipe to insert kontac
25055752,severe corroded and broken on valve handlewheel,2,to be rectified,remain,to be rectified,replace hand wheel with surplus material. dispose valve
25055756,missing valve handlewheel,2,to be rectified,remain,to be rectified,replace hand wheel with surplus material. dispose valve
25055758,severe corrodedbroken on valve handlewheel,2,to be rectified,remain,to be rectified,replace hand wheel with surplus material. dispose valve
25055759,piping direct contact to grating,2,to be rectified,remain,to be rectified,trim grating
25055782,piping direct contact to grating,2,to be rectified,remain,to be rectified,trim grating
25055784,piping direct contact to grating,2,to be rectified,remain,to be rectified,trim grating
25069661,pipework hanging from pipe support pipe support with no non metallic pad,2,to be rectified,remain,to be rectified,if no sign of sagging at center between two pipe support not more than 15mm then no further action pull lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar. replace new ubolts with isolation pad
24941633,severely corroded valve handle or brokenmissing valve handlewheel,2,to be rectified,remain,to be rectified,replace hand wheel with surplus material. dispose valve
25015230,b1 crude outlet nozzle noted with full insulation minor improper sealant noted on nozzle to head insulation attachment tbry improper sealant TBRy insulation strip off since 2022 observed with corrosion under insulation on b1,2,to be rectified,remain,to be rectified,seal with proper sealant to conduct survey and repaint on corrosion under insulation
25019159,south view of bottom header 1 rubber protector of windows inspection port missing,2,to be rectified,remain,to be rectified,reinstate rubber protector
25054820,major sealant damage. break at vapor barrier of insulation termination point with possible water inglass reinforced epoxyss missing insulation cladding with exposed steel. no inspection window on pipework perform uttm,2,to be rectified,remain,to be rectified,reinstate insulation and cladding with proper sealant
25054834,no inspection window on pipework. perform uttm,2,to be rectified,revise,to be painted,region material corrosion and inspection to indicate inspection window location. request for window installation and conduct inspection
25054836,direct contact with other pipingdeckcomponents,2,to be rectified,remain,to be rectified,pull lift pipe to insert aluminum teflon kevlar sheet preferable would be kevlar
25054838,dented insulation without exposed steel and no sign of corrosion under insulation insulation exposed to atmosphere cause water inglass reinforced epoxyss missing insulation cladding 4 no inspection window. perform uttm,2,to be rectified,remain,to be rectified,no further action on dented insulation. reinstate exposed insulation. reinstate missing insulation. region material corrosion and inspection to indicate inspection window location. request for window installation and conduct inspection
25054852,dented insulation without exposed steel and no sign of corrosion under insulation insulation exposed to atmosphere cause water inglass reinforced epoxyss missing insulation cladding 4 no inspection window. perform uttm,2,to be rectified,remain,to be rectified,no further action on dented insulation. reinstate exposed insulation. reinstate missing insulation region material corrosion and inspection to indicate inspection window location. request for window installation and conduct inspection
